ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,BILLING_SERVICE_CODE,BILLING_TARIFF_CODE,CAMPAIGN_START_DATE,PROMO_CODE_REF_ID,VARIABLE_PRICE,CURRENCY,PAYMENT_PLAN_TEMPL_ID,PRICE_LIST_ID,MIG_STATUS,MIG_DATE,PRICE_AMOUNT
208723C9-7AE7-4F20-BF1C-3F98EE00038D,2025-05-26 16:11:12.748,SYSTEM,127.0.0.1,0,2025-05-26 16:11:28.106,SYSTEM,127.0.0.1,1,99922,1,2025-05-26 16:11:27.000,289740,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,378644,201093,NULL,NULL,423.076923
A7415A99-8806-475B-9241-F2E4BDAB8111,2025-05-26 16:11:13.137,SYSTEM,127.0.0.1,0,2025-05-26 16:11:27.364,SYSTEM,127.0.0.1,1,124867,1,2025-05-26 16:11:26.000,421935,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,763416,121668,NULL,NULL,100.0
C7684AD9-3AF2-4366-98B0-932C89513472,2025-05-26 16:11:14.198,SYSTEM,127.0.0.1,0,2025-05-26 16:11:14.198,SYSTEM,127.0.0.1,0,99681,1182,NULL,593815,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,404342,390956,NULL,NULL,41.666667
44B03E23-D652-4888-A72D-4F0ED0E0902C,2025-05-26 16:11:18.336,SYSTEM,127.0.0.1,0,2025-05-26 16:11:18.336,SYSTEM,127.0.0.1,0,121675,1,NULL,474711,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,692960,479781,NULL,NULL,692.307692
7C995F4D-7FF7-471B-897D-B0CF354A31ED,2025-05-26 16:16:12.953,SYSTEM,127.0.0.1,0,2025-05-26 16:16:12.953,SYSTEM,127.0.0.1,0,113334,1182,NULL,264564,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,954540,981949,NULL,NULL,41.666667
3C3FBCA0-2750-4BBA-B260-C4CF465A42D6,2025-05-26 16:16:12.967,SYSTEM,127.0.0.1,0,2025-05-26 16:16:12.967,SYSTEM,127.0.0.1,0,99681,1182,NULL,670261,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,419409,637131,NULL,NULL,41.666667
C03C491C-62CB-4098-A1B3-169B2C324AA2,2025-05-26 16:16:13.066,SYSTEM,127.0.0.1,0,2025-05-26 16:16:13.066,SYSTEM,127.0.0.1,0,3103,3477,NULL,229134,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,857979,524886,NULL,NULL,1000.0
1BF25D55-4515-452F-8B49-B5CCA46C6FD0,2025-05-26 16:16:12.964,SYSTEM,127.0.0.1,0,2025-05-26 16:16:19.639,SYSTEM,127.0.0.1,1,99922,1,2025-05-26 16:16:19.000,105125,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,178498,102703,NULL,NULL,423.076923
B37D995A-2C27-49D5-8352-3DC90F6CD7B0,2025-05-26 16:16:13.596,SYSTEM,127.0.0.1,0,2025-05-26 16:16:13.596,SYSTEM,127.0.0.1,0,121675,1,NULL,442215,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,591923,993207,NULL,NULL,692.307692
C2AB2F78-6C41-497D-BF71-9DA81CBAC666,2025-05-26 16:16:47.141,SYSTEM,127.0.0.1,0,2025-05-26 16:16:47.141,SYSTEM,127.0.0.1,0,124083,1,NULL,341739,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,279234,482640,NULL,NULL,0.0
EAA11783-469F-4399-9A74-4762F6F4F76D,2025-05-26 16:16:47.162,SYSTEM,127.0.0.1,0,2025-05-26 16:16:47.162,SYSTEM,127.0.0.1,0,3000,1182,NULL,225771,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,993641,569552,NULL,NULL,2076.923077
8D0BE372-5B0B-4420-8D8F-7E6DD39E1DCD,2025-05-26 16:16:47.263,SYSTEM,127.0.0.1,0,2025-05-26 16:16:47.263,SYSTEM,127.0.0.1,0,3102,1182,NULL,939505,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,684686,663307,NULL,NULL,576.923077
1965B29A-6CFE-40B0-BD7F-B7F809E318B4,2025-05-26 16:19:17.814,SYSTEM,127.0.0.1,0,2025-05-26 16:19:17.814,SYSTEM,127.0.0.1,0,113334,1182,NULL,798042,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,603271,672540,NULL,NULL,41.666667
94594952-5926-4EBB-980E-9483F1FB6807,2025-05-26 16:19:18.430,SYSTEM,127.0.0.1,0,2025-05-26 16:19:19.761,SYSTEM,127.0.0.1,1,3000,14,2018-03-17 00:00:00.000,577123,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,940975,318460,NULL,NULL,187.5001
77799D39-A127-43EE-B9D7-7CAB2818995F,2025-05-26 16:19:18.842,SYSTEM,127.0.0.1,0,2025-05-26 16:19:18.842,SYSTEM,127.0.0.1,0,121675,1,NULL,819699,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,474439,942629,NULL,NULL,692.307692
